PING 54.250.228.196 (54.250.228.196) 56(84) bytes of data.
64 bytes from 54.250.228.196: icmp_seq=305 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=306 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=307 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=308 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=309 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=310 ttl=44 time=37.6 ms
64 bytes from 54.250.228.196: icmp_seq=311 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=312 ttl=44 time=37.7 ms
64 bytes from 54.250.228.196: icmp_seq=313 ttl=44 time=37.4 ms
64 bytes from 54.250.228.196: icmp_seq=314 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=315 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=316 ttl=44 time=37.8 ms
64 bytes from 54.250.228.196: icmp_seq=317 ttl=44 time=38.3 ms
64 bytes from 54.250.228.196: icmp_seq=318 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=319 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=320 ttl=44 time=38.0 ms
64 bytes from 54.250.228.196: icmp_seq=321 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=322 ttl=44 time=38.2 ms
64 bytes from 54.250.228.196: icmp_seq=323 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=324 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=325 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=326 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=327 ttl=44 time=37.3 ms
64 bytes from 54.250.228.196: icmp_seq=328 ttl=44 time=37.0 ms
64 bytes from 54.250.228.196: icmp_seq=329 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=330 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=331 ttl=44 time=37.7 ms
64 bytes from 54.250.228.196: icmp_seq=332 ttl=44 time=37.1 ms
64 bytes from 54.250.228.196: icmp_seq=333 ttl=44 time=38.9 ms
64 bytes from 54.250.228.196: icmp_seq=334 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=335 ttl=44 time=37.2 ms
64 bytes from 54.250.228.196: icmp_seq=336 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=337 ttl=44 time=68.2 ms
64 bytes from 54.250.228.196: icmp_seq=338 ttl=44 time=37.7 ms
64 bytes from 54.250.228.196: icmp_seq=339 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=340 ttl=44 time=38.1 ms
64 bytes from 54.250.228.196: icmp_seq=341 ttl=44 time=47.2 ms
64 bytes from 54.250.228.196: icmp_seq=342 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=343 ttl=44 time=36.9 ms
64 bytes from 54.250.228.196: icmp_seq=344 ttl=44 time=36.8 ms
64 bytes from 54.250.228.196: icmp_seq=345 ttl=44 time=37.0 ms
