PING 18.228.24.236 (18.228.24.236) 56(84) bytes of data.
64 bytes from 18.228.24.236: icmp_seq=265 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=266 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=267 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=268 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=269 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=270 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=271 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=272 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=273 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=274 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=275 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=276 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=277 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=278 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=279 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=280 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=281 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=282 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=283 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=284 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=285 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=286 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=287 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=288 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=289 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=290 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=291 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=292 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=293 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=294 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=295 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=296 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=297 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=298 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=299 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=300 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=301 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=302 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=303 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=304 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=305 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=306 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=307 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=308 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=309 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=310 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=311 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=312 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=313 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=314 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=315 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=316 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=317 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=318 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=319 ttl=41 time=324 ms
64 bytes from 18.228.24.236: icmp_seq=320 ttl=41 time=324 ms
